Governo;Ministero;From;To;Nome ministero;Nome assegnatario;Partito;Nodecolor;Value;tooltip;Tooltip
Letta;Presidente del Consiglio dei ministri-1;Inizio legislatura;Enrico Letta;Presidente del Consiglio dei ministri;Enrico Letta;PD;#b80000;1;La carica di Presidente del Consiglio dei ministri è assegnata a ;La carica di Presidente del Consiglio dei ministri è assegnata a Enrico Letta
Letta;Affari esteri e cooperazione internazionale-1;Inizio legislatura;Emma Bonino;Affari esteri e cooperazione internazionale;Emma Bonino;RI;#790c19;1;La carica di ministro degli Affari esteri e cooperazione internazionale è assegnata a ;La carica di ministro degli Affari esteri e cooperazione internazionale è assegnata a Emma Bonino
Letta;Interno-1;Inizio legislatura;Angelino Alfano (1);Interno;Angelino Alfano;PdL;#08a6e3;1;La carica di ministro dell'Interno è assegnata a ;La carica di ministro dell'Interno è assegnata a Angelino Alfano
Letta;Giustizia-1;Inizio legislatura;Annamaria Cancellieri;Giustizia;Annamaria Cancellieri;Indipendente;#808080;1;La carica di ministro della Giustizia è assegnata a ;La carica di ministro della Giustizia è assegnata a Annamaria Cancellieri
Letta;Difesa-1;Inizio legislatura;Mario Mauro;Difesa;Mario Mauro;Sc;#120a8f;1;La carica di ministro della Difesa è assegnata a ;La carica di ministro della Difesa è assegnata a Mario Mauro
Letta;Economia e finanze-1;Inizio legislatura;Fabrizio Saccomanni;Economia e finanze;Fabrizio Saccomanni;Indipendente;#808080;1;La carica di ministro dell'Economia e finanze è assegnata a ;La carica di ministro dell'Economia e finanze è assegnata a Fabrizio Saccomanni
Letta;Lavoro e politiche sociali-1;Inizio legislatura;Enrico Giovannini;Lavoro e politiche sociali;Enrico Giovannini;Indipendente;#808080;1;La carica di ministro del Lavoro e politiche sociali è assegnata a ;La carica di ministro del Lavoro e politiche sociali è assegnata a Enrico Giovannini
Letta;Sviluppo economico-1;Inizio legislatura;Flavio Zanonato;Sviluppo economico;Flavio Zanonato;PD;#b80000;1;La carica di ministro dello Sviluppo economico è assegnata a ;La carica di ministro dello Sviluppo economico è assegnata a Flavio Zanonato
Letta;Politiche agricole alimentari,forestali e del turismo-1;Inizio legislatura;Nunzia De Girolamo;Politiche agricole alimentari,forestali e del turismo;Nunzia De Girolamo;PdL;#08a6e3;1;La carica di ministro delle Politiche agricole alimentari,forestali e del turismo è assegnata a ;La carica di ministro delle Politiche agricole alimentari,forestali e del turismo è assegnata a Nunzia De Girolamo
Letta;Ambiente e tutela del territorio e del mare-1;Inizio legislatura;Andrea Orlando (1);Ambiente e tutela del territorio e del mare;Andrea Orlando;PD;#b80000;1;La carica di ministro dell'Ambiente e tutela del territorio e del mare è assegnata a ;La carica di ministro dell'Ambiente e tutela del territorio e del mare è assegnata a Andrea Orlando
Letta;Infrastrutture e trasporti-1;Inizio legislatura;Maurizio Lupi (1);Infrastrutture e trasporti;Maurizio Lupi;PdL;#08a6e3;1;La carica di ministro delle Infrastrutture e trasporti è assegnata a ;La carica di ministro delle Infrastrutture e trasporti è assegnata a Maurizio Lupi
Letta;Istruzione, università e ricerca-1;Inizio legislatura;Maria Chiara Carrozza;Istruzione, università e ricerca;Maria Chiara Carrozza;PD;#b80000;1;La carica di ministro dell'Istruzione, università e ricerca è assegnata a ;La carica di ministro dell'Istruzione, università e ricerca è assegnata a Maria Chiara Carrozza
Letta;Beni e attività culturali-1;Inizio legislatura;Massimo Bray;Beni e attività culturali;Massimo Bray;PD;#b80000;1;La carica di ministro dei Beni e attività culturali è assegnata a ;La carica di ministro dei Beni e attività culturali è assegnata a Massimo Bray
Letta;Salute-1;Inizio legislatura;Beatrice Lorenzin (1);Salute;Beatrice Lorenzin;PdL;#08a6e3;1;La carica di ministro della Salute è assegnata a ;La carica di ministro della Salute è assegnata a Beatrice Lorenzin
Renzi;Presidente del Consiglio dei ministri-2;Enrico Letta;Matteo Renzi;Presidente del Consiglio dei ministri;Matteo Renzi;PD;#b80000;1;La carica di Presidente del Consiglio dei ministri è assegnata a ;La carica di Presidente del Consiglio dei ministri è assegnata a Matteo Renzi
Renzi;Affari esteri e cooperazione internazionale-2;Emma Bonino;Federica Mogherini;Affari esteri e cooperazione internazionale;Federica Mogherini;PD;#b80000;1;La carica di ministro degli Affari esteri e cooperazione internazionale è assegnata a ;La carica di ministro degli Affari esteri e cooperazione internazionale è assegnata a Federica Mogherini
Renzi;Interno-2;Angelino Alfano (1);Angelino Alfano (2);Interno;Angelino Alfano;NCD;#120a8f;1;La carica di ministro dell'Interno è assegnata a ;La carica di Interno è stata mantenuta da Angelino Alfano
Renzi;Giustizia-2;Annamaria Cancellieri;Andrea Orlando (2);Giustizia;Andrea Orlando;PD;#b80000;1;La carica di ministro della Giustizia è assegnata a ;La carica di ministro della Giustizia è assegnata a Andrea Orlando
Renzi;Difesa-2;Mario Mauro;Roberta Pinotti (1);Difesa;Roberta Pinotti;PD;#b80000;1;La carica di ministro della Difesa è assegnata a ;La carica di ministro della Difesa è assegnata a Roberta Pinotti
Renzi;Economia e finanze-2;Fabrizio Saccomanni;Pier Carlo Padoan (1);Economia e finanze;Pier Carlo Padoan;Indipendente;#808080;1;La carica di ministro dell'Economia e finanze è assegnata a ;La carica di ministro dell'Economia e finanze è assegnata a Pier Carlo Padoan
Renzi;Sviluppo economico-2;Flavio Zanonato;Federica Guidi;Sviluppo economico;Federica Guidi;Indipendente;#808080;1;La carica di ministro dello Sviluppo economico è assegnata a ;La carica di ministro dello Sviluppo economico è assegnata a Federica Guidi
Renzi;Politiche agricole alimentari,forestali e del turismo-2;Nunzia De Girolamo;Maurizio Martina (1);Politiche agricole alimentari,forestali e del turismo;Maurizio Martina;PD;#b80000;1;La carica di ministro delle Politiche agricole alimentari,forestali e del turismo è assegnata a ;La carica di ministro delle Politiche agricole alimentari,forestali e del turismo è assegnata a Maurizio Martina
Renzi;Ambiente e tutela del territorio e del mare-2;Andrea Orlando (1);Gian Luca Galletti (1);Ambiente e tutela del territorio e del mare;Gian Luca Galletti;UdC;#47f7f9;1;La carica di ministro dell'Ambiente e tutela del territorio e del mare è assegnata a ;La carica di ministro dell'Ambiente e tutela del territorio e del mare è assegnata a Gian Luca Galletti
Renzi;Infrastrutture e trasporti-2;Maurizio Lupi (1);Maurizio Lupi (2);Infrastrutture e trasporti;Maurizio Lupi;NCD;#120a8f;1;La carica di ministro delle Infrastrutture e trasporti è assegnata a ;La carica di ministro delle Infrastrutture e trasporti è assegnata a Maurizio Lupi
Renzi;Lavoro e politiche sociali-2;Enrico Giovannini;Giuliano Poletti (1);Lavoro e politiche sociali;Giuliano Poletti;PD;#b80000;1;La carica di ministro del Lavoro e politiche sociali è assegnata a ;La carica di ministro del Lavoro e politiche sociali è assegnata a Giuliano Poletti
Renzi;Istruzione, università e ricerca-2;Maria Chiara Carrozza;Stefania Giannini;Istruzione;Stefania Giannini;Sc;#b80000;1;La carica di ministro dell'Istruzione è assegnata a ;La carica di ministro dell'Istruzione è assegnata a Stefania Giannini
Renzi;Beni e attività culturali-2;Massimo Bray;Dario Franceschini (1);Beni e attività culturali;Dario Franceschini;PD;#b80000;1;La carica di ministro dei Beni e attività culturali è assegnata a ;La carica di ministro dei Beni e attività culturali è assegnata a Dario Franceschini
Renzi;Salute-2;Beatrice Lorenzin (1);Beatrice Lorenzin (2);Salute;Beatrice Lorenzin;NCD;#120a8f;1;La carica di ministro della Salute è assegnata a ;La carica di Salute è stata mantenuta da Beatrice Lorenzin
Gentiloni;Presidente del Consiglio dei ministri-3;Matteo Renzi;Paolo Gentiloni;Presidente del Consiglio dei ministri;Paolo Gentiloni;PD;#b80000;1;La carica di Presidente del Consiglio dei ministri è assegnata a ;La carica di Presidente del Consiglio dei ministri è assegnata a Paolo Gentiloni
Gentiloni;Affari esteri e cooperazione internazionale-3;Federica Mogherini;Angelino Alfano (3);Affari esteri e cooperazione internazionale;Angelino Alfano;NCD;#120a8f;1;La carica di ministro degli Affari esteri e cooperazione internazionale è assegnata a ;La carica di ministro degli Affari esteri e cooperazione internazionale è assegnata a Angelino Alfano
Gentiloni;Interno-3;Angelino Alfano (2);Marco Minniti;Interno;Marco Minniti;PD;#b80000;1;La carica di ministro dell'Interno è assegnata a ;La carica di ministro dell'Interno è assegnata a Marco Minniti
Gentiloni;Giustizia-3;Andrea Orlando (2);Andrea Orlando (3);Giustizia;Andrea Orlando;PD;#b80000;1;La carica di ministro della Giustizia è assegnata a ;La carica di Giustizia è stata mantenuta da Andrea Orlando
Gentiloni;Difesa-3;Roberta Pinotti (1);Roberta Pinotti (2);Difesa;Roberta Pinotti;PD;#b80000;1;La carica di ministro della Difesa è assegnata a ;La carica di Difesa è stata mantenuta da Roberta Pinotti
Gentiloni;Economia e finanze-3;Pier Carlo Padoan (1);Pier Carlo Padoan (2);Economia e finanze;Pier Carlo Padoan;PD;#b80000;1;La carica di ministro dell'Economia e finanze è assegnata a ;La carica di Economia e finanze è stata mantenuta da Pier Carlo Padoan
Gentiloni;Sviluppo economico-3;Federica Guidi;Carlo Calenda;Sviluppo economico;Carlo Calenda;Indipendente;#808080;1;La carica di ministro dello Sviluppo economico è assegnata a ;La carica di ministro dello Sviluppo economico è assegnata a Carlo Calenda
Gentiloni;Politiche agricole alimentari,forestali e del turismo-3;Maurizio Martina (1);Maurizio Martina (2);Politiche agricole alimentari,forestali e del turismo;Maurizio Martina;PD;#b80000;1;La carica di ministro delle Politiche agricole alimentari,forestali e del turismo è assegnata a ;La carica di Politiche agricole alimentari,forestali e del turismo è stata mantenuta da Maurizio Martina
Gentiloni;Ambiente e tutela del territorio e del mare-3;Gian Luca Galletti (1);Gian Luca Galletti (2);Ambiente e tutela del territorio e del mare;Gian Luca Galletti;UdC;#120a8f;1;La carica di ministro dell'Ambiente e tutela del territorio e del mare è assegnata a ;La carica di Ambiente e tutela del territorio e del mare è stata mantenuta da Gian Luca Galletti
Gentiloni;Infrastrutture e trasporti-3;Maurizio Lupi (2);Graziano Delrio;Infrastrutture e trasporti;Graziano Delrio;PD;#b80000;1;La carica di ministro delle Infrastrutture e trasporti è assegnata a ;La carica di ministro delle Infrastrutture e trasporti è assegnata a Graziano Delrio
Gentiloni;Lavoro e politiche sociali-3;Giuliano Poletti (1);Giuliano Poletti (2);Lavoro e politiche sociali;Giuliano Poletti;PD;#b80000;1;La carica di ministro del Lavoro e politiche sociali è assegnata a ;La carica di Lavoro e politiche sociali è stata mantenuta da Giuliano Poletti
Gentiloni;Istruzione, università e ricerca-3;Stefania Giannini;Valeria Fedeli;Istruzione;Valeria Fedeli;PD;#b80000;1;La carica di ministro dell'Istruzione è assegnata a ;La carica di ministro dell'Istruzione è assegnata a Valeria Fedeli
Gentiloni;Beni e attività culturali-3;Dario Franceschini (1);Dario Franceschini (2);Beni e attività culturali;Dario Franceschini;PD;#b80000;1;La carica di ministro dei Beni e attività culturali è assegnata a ;La carica di Beni e attività culturali è stata mantenuta da Dario Franceschini
Gentiloni;Salute-3;Beatrice Lorenzin (2);Beatrice Lorenzin (3);Salute;Beatrice Lorenzin;NCD;#120a8f;1;La carica di ministro della Salute è assegnata a ;La carica di Salute è stata mantenuta da Beatrice Lorenzin
;;;;;;;;;;
