2018;2018;2018;2018;2013;2013;2013;2013;2008;2008;2008;2008;2006;2006;2006;2006;2001;2001;2001;2001;1996;1996;1996;1996;1994;1994;1994;1994;1992;1992;1992;1992;1987;1987;1987;1987;1983;1983;1983;1983;1979;1979;1979;1979;1976;1976;1976;1976;1972;1972;1972;1972;1968;1968;1968;1968;1963;1963;1963;1963;1958;1958;1958;1958;1953;1953;1953;1953;1948;1948;1948;1948
ITALIA;CANDIDATI UNINOMINALI ;LISTA DEL POPOLO PER LA COSTITUZIONE;10356;ITALIA;OSCAR FULVIO GIANNINO ;FARE PER FERMARE IL DECLINO;278470;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);EVA ROSSI ;LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;45623;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;FIAMMA TRICOLORE;204498;ITALIA;;LEGA D'AZIONE MERIDIONALE;19914;ITALIA;;AMBIENTALISTI;26756;;;;;ITALIA;;CPA;116395;ITALIA;;CPA;41135;ITALIA;;PPTT;17354;ITALIA;;FIORE MARGHERITA;2056;ITALIA;;GR.AVE;521;;;;;;;;;;;;;ITALIA;;PART.NAZ.MONARCHICO;4729;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;DESTRE UNITE - FORCONI;6229;ITALIA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;113967;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIORGIO VIDO ;LG.VENETA REPUBBLICA;47647;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DEM.CRIST.-NUOVO PSI;190717;ITALIA;;LIBDEM.BASTA;19913;ITALIA;;GR.INDIP.LIBERTA';23301;;;;;ITALIA;;LISTE AUTONOMISTE;95687;ITALIA;;UV-ADP-PRI;35830;ITALIA;;PART.CRIST.AZ.SOC.;12588;ITALIA;;PART.BEN.CIV.;1072;;;;;;;;;;;;;;;;;ITALIA;;P.NAZIONALE LAVORO;3588;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;DEMOCRAZIA CRISTIANA;5532;ITALIA;ROBERTO FIORE ;FORZA NUOVA;81578;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO CIANO ;PARTITO DEL SUD-ALLEANZA MERIDIONALE;3727;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PENSIONATI UNITI;61681;ITALIA;;FI-LG NORD (AOSTA);14817;ITALIA;;UNION FUR SUD TIROL;19330;;;;;ITALIA;;ALTRI GRUPPI;63461;ITALIA;;DC-PCI-PSI-PSDI-PLI;25426;ITALIA;;UN.PEN.PENS.IT.;10895;ITALIA;;MOV.AVE;455;;;;;;;;;;;;;;;;;ITALIA;;UNIFIC.SOCIALISTA;3110;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;PATTO PER L'AUTONOMIA;5015;ITALIA;GIACINTO MARCO PANNELLA ;LISTA AMNISTIA GIUSTIZIA LIBERTA';63074;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIUSEPPE QUARANTA ;SUD LIBERO;1795;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PRI;45098;ITALIA;;P.LIBERAL POPOLARE;10301;ITALIA;;MOV.AUT.TOSCANO;18691;;;;;ITALIA;;MOV.VEN.REG.AUT;50938;ITALIA;;P.VERDE I.VER.E.;22006;ITALIA;;UNIONE SLOVENA;8904;;;;;;;;;;;;;;;;;;;;;ITALIA;;QUADRIFOGLIO;2818;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;SIAMO;1402;ITALIA;LUCA ROMAGNOLI ;FIAMMA TRICOLORE;52060;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1597;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;AMBIENTA-LISTA;36458;ITALIA;;LISTA AMADU;9203;ITALIA;;PATTO PER L'AGRO;17980;;;;;ITALIA;;LEGA D'AZIONE MERIDIONALE;49769;ITALIA;;VERDI IT.-P.ECOL;19127;ITALIA;;FR.NAZ.SIC.;8243;;;;;;;;;;;;;;;;;;;;;ITALIA;;MOVIMENTO RURALE;2389;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;SMS - STATO MODERNO SOLIDALE;1384;ITALIA;MAGDI CRISTIANO ALLAM ;IO AMO L'ITALIA;40660;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);RENZO RABELLINO ;LISTA DEI GRILLI PARLANTI;49535;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;NUOVA SICILIA;33485;ITALIA;;LISTA ALTERNATIVA;7704;ITALIA;;RINNOVAMENTO;16216;;;;;ITALIA;;LISTA PER IL MOLISE;48352;ITALIA;;MOV.FRIULI;17528;ITALIA;;LISTA DI LOTTA;6403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITALIA;CANDIDATI UNINOMINALI ;RINASCIMENTO MIR;552;ITALIA;SIMONE DI STEFANO ;CASAPOUND ITALIA;40716;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;78139;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;NO EURO;30527;ITALIA;;FORZA CHIAPPETTA;6932;ITALIA;;VALLE D'AOSTA-ULIVO;10371;;;;;ITALIA;;VERDI FEDERALISTI;47051;ITALIA;;MOV.LIB.FISCALE;13915;ITALIA;;LISTA TS-UDP;5678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;LODOVICO PIZZATI ;INDIPENDENZA VENETA;29690;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIORGIO GALLI ;FRONTE INDIPENDENTISTA LOMBARDIA;5234;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PATTO PER LA SICILIA;20825;ITALIA;;DIE FREIHEITLICHEN;5354;ITALIA;;DESTRA DI POPOLO;6710;;;;;ITALIA;;L.VALLE D'AOSTA;34150;ITALIA;;PARTIDU INDIP.;11818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;FABRIZIO COMENCINI ;LG.VENETA REPUBBLICA;20361;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;P.LIBERALE ITALIANO;15657;ITALIA;;LISTA FRANCO GRECO;4284;ITALIA;;PART.LEGGE NATURALE;5842;;;;;ITALIA;;GRUPPO DOLCHI-FOSSON;31175;ITALIA;;PART.SUD.TIROL;8551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;OTTAVIO PASQUALUCCI ;DIMEZZIAMO LO STIPENDIO AI POLITICI;7965;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PATTO CRIST.ESTESO;9735;ITALIA;;MOVIMENTO DELLE LIBERTA';4023;ITALIA;;DEMOCR.PROGRESSO;5688;;;;;ITALIA;;VERDI-VERDI;29217;ITALIA;;RINASCITA SIC.;5258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;;NO ALLA CHIUSURA DEGLI OSPEDALI;7553;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;RIFORMATORI LIBERALI;7571;ITALIA;;AN (AOSTA);3686;ITALIA;;RIFONDAZIONE COMUNISTA;5681;;;;;ITALIA;;LEGA DELLE LEGHE;24051;ITALIA;;PS D'AZ-ALL.F.;4812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;;VIVA L'ITALIA;4767;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;S.O.S. ITALIA;4993;ITALIA;;RENATO FIORELLI;2924;ITALIA;;MOV.POP.MORALIZ.;5297;;;;;ITALIA;;MOV.POL.DIF.AUTOMOB.;3266;ITALIA;;PART.NAZ.INQ.;4103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;GIOVANNI ANGELO COLLI ;PS D'AZ.;18569;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MUSUMECI SEBASTIANO;ALLEANZA SICILIANA;36194;ITALIA;;TERZO POLO AUTONOMIA;2392;ITALIA;;ALPI AZZURRE;5144;;;;;;;;;ITALIA;;MOV.NAZ.IT.CACC.;2695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;ENZO BOSIO ;CIVILTA' RURALE SVILUPPO;13955;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DI MARTINO OSCAR QUINTINO;DIMENSIONE CHRISTIANA;2441;ITALIA;;COMUNISMO;2159;ITALIA;;ALT.DEM.C.ROMANI;4524;;;;;;;;;ITALIA;;NPP;2507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;CARLO MASCI ;RIALZATI ABRUZZO;11821;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DI FRANCESCO DARIO;FORZA ROMA;13338;ITALIA;;GIUSEPPE BOSCOLO;1058;ITALIA;;P.POP.PROGRESSISTA;4450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;DOMENICO SAVIO ;P.COM.MARX-LEN.;9599;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SALE GAVINO;IRS;10881;ITALIA;;PARLAMENTARE INDIP.;993;ITALIA;;PER UN PAESE NORMALE;3976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;ANTONIO GUADAGNINI ;VENETO STATO;8973;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SABELLA ANTONIO;ITALIA MODERATA;2076;ITALIA;;GIUSTIZIA-PROGRESSO;950;ITALIA;;REG.DOLOMITICA EUR;2898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;FRANCO TORCHIA ;PRI;8124;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);VESTUTO GIANFRANCO;LEGA SUD;2485;ITALIA;;TOSCANA GRANDUC-FED.;625;ITALIA;;NORD LIBERO AUT.;2411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;MARIA CRISTINA SANDRIN ;DONNE PER L'ITALIA;7610;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MORANA SALVATORE;MOV.DEM.SIC-NOI SIC.;6556;ITALIA;;PA.C.I.;175;ITALIA;;COLPISCI IL CENTRO;2178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;PIETRO MURRU ;INDIPENDENZA PER LA SARDEGNA;7509;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);RAUTI  GIUSEPPE;MOV.IDEA SOC. RAUTI;3024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;GIULIO ARRIGHINI ;UNIONE PADANA;7317;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MARSAN ANNALISA;MOVIMENTO TRIVENETO;7435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;ANTONIO POTENZA ;POPOLARI UNITI;6584;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SAVIO DOMENICO;P.COM.MARX-LEN.;25941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;MARCO MARSILI ;I PIRATI;6252;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PADOVANO SPANO ADRIANA;PARTITO DONNE D'EUROPA;4212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;STEFANIA GABRIELLA ANASTASIA CRAXI ;RIFORMISTI ITALIANI;5916;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SARAO  UGO;PENSIONI E LAVORO;19759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;SALVATORE MELONI ;MERIS;5770;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);IANNANTUONI DOMENICO;PER IL SUD;9985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;ADRIANO LOTITO ;PARTITO DI ALTERNATIVA COMUNISTA;5185;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PANTO GIORGIO;PROGETTO NORDEST;93172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;ALFONSO LUIGI MARRA ;PAS - FLB&LT;4742;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DELITALA  ANTONIO;PS D'AZ.;16733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;PIERO PUSCHIAVO ;PROGETTO NAZIONALE;3826;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);CUMPOSTU SEBASTIANO;SARDIGNA NATZIONE;8412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;EFISIO ARBAU ;LA BASE;3383;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PIROVANO PIERO;SOLIDARIETA';5470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;ANTONIO CORSI ;TUTTI INSIEME PER L'ITALIA;3092;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SCOTTI VINCENZO;TERZO POLO;13260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;RAFFAELE BRUNO ;RIFONDAZIONE MISSINA ITALIANA;2698;;;;;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);VENOSI  ALFONSO;UN.FEDERALISTA MERIDIONALE;1862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;GIOVANNA SORBELLI ;MOVIMENTO EUDONNA;2302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;MASSIMO ROMANO ;COSTRUIRE DEMOCRAZIA;2658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;MARINA PETRINI ;MOVIMENTO PROGETTO ITALIA - MID;1441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;ANDREA BALIA ;PARTITO DEL SUD;1263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;GABRIELE NAPPI ;MOVIMENTO NATURALISTA ITALIANO;1131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ITALIA;MICHELE SOMMA ;COMUNITA' LUCANA;883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;PARTITO DEMOCRATICO;279489;ESTERO;;PARTITO DEMOCRATICO;274732;ESTERO;;IL POPOLO DELLA LIBERTA';322698;ESTERO;;L'UNIONE;393357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;226885;ESTERO;;CON MONTI PER L'ITALIA;177402;ESTERO;;PARTITO DEMOCRATICO;314703;ESTERO;;FORZA ITALIA;186386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;MOVIMENTO 5 STELLE;182715;ESTERO;;IL POPOLO DELLA LIBERTA';136052;ESTERO;;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;72511;ESTERO;;ASS.ITAL.SUD AMERICA;85745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;110879;ESTERO;;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;120290;ESTERO;;ASS.ITAL.SUD AMERICA;60794;ESTERO;;PER ITALIA NEL MONDO;65055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;USEI;68233;ESTERO;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;89562;ESTERO;;UNIONE DI CENTRO;57817;ESTERO;;UNIONE DI CENTRO;57278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;LIBERI E UGUALI;57761;ESTERO;;USEI;38223;ESTERO;;DI PIETRO ITALIA DEI VALORI;38357;ESTERO;;DI PIETRO ITALIA DEI VALORI;26486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;#NAME?;55625;ESTERO;;ITALIANI PER LA LIBERTA';15260;ESTERO;;PARTITO SOCIALISTA;28149;ESTERO;;LEGA NORD;18544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;CIVICA POPOLARE LORENZIN;32660;ESTERO;;RIVOLUZIONE CIVILE;14134;ESTERO;;LA SINISTRA L'ARCOBALENO;27067;ESTERO;;U.D.EUR POPOLARI;13507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;NOI CON L'ITALIA - UDC;10856;ESTERO;;UNIONE ITALIANI SUDAMERICA;10811;ESTERO;;LA DESTRA - FIAMMA TRICOLORE;13139;ESTERO;;U.S.E.I.;12552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTERO;;MOVIMENTO DELLE LIBERTA';6960;ESTERO;;FARE PER FERMARE IL DECLINO;7892;ESTERO;;L' ALTRA SICILIA PER IL SUD;8391;ESTERO;;P.ITALIANI NEL MONDO;10888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESTERO;;PARTITO COMUNISTA;7578;ESTERO;;SINISTRA CRITICA;5855;ESTERO;;L' ALTRA SICILIA PER IL SUD;9497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESTERO;;INSIEME PER GLI ITALIANI;3223;ESTERO;;CONSUMATORI CIVICI ITALIANI;3663;ESTERO;;FIAMMA TRICOLORE;8575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;ESTERO;;ALT.IND.ITAL.ESTERO;3191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
